Author,Title,label
,Project : emergency education and psychosocial support programming for Eritrean refugees in Ethiopia -- locations : Eritrean refugees in camps in Ethiopia_,0
,"Project : improving basic education (IBET) in Tajikistan -- locations : Tajikistan (Khatalon, Rasht Valley, and Gorno-Badakshan)_",0
,"Project : mine risk education for children (MREC) -- locations : Cambodia (Oddar Meanchay, Siem Reap, Battambang, Banteay Meanchay, Preah Vihear, Pursat, Pailin, and Kompong Thom)_",0
,Project : popular theater in Palestine project -- locations : West Bank and Gaza_,0
,Project : rebuilding education and civil society (RECS) -- location : Southern Sudan (8 primary schools) -- Tambura and Ezo counties of Western Equitorial region_,0
,Project : reintegration support -- locations : Sierra Leone (Kono and Kailahun)_,0
,"Project : Sudan transitional assistance for rehabilitation (STAR) -- locations : Southern Sudan - Equatoria, Bahr El Ghazal, Upper Nile, Southern Kordofan and Southern Blue Nile_",0
,Project : support program for traumatized children in Kosovo -- locations : Kosovo (12 villages and schools in Prizren Municipality)_,0
,"Project : support to primary school education -- location : Hargeisa, Somaliland (19 schools)_",0
,'The Seldon project' for global trade law assessment and assistance_,0
,Global climate change[ : Nepal]_,0
,Monitoring and evaluation framework for Title II development-oriented projects_,0
,Unexploded ordnance/landmine risk education program_,0
,Meeting needs for reproductive health services in post-conflict environments : CARE's family planning project in the Democratic Republic of the Congo_,0
,Combating trafficking in persons in the 21st Century_,0
,Going the extra mile to provide and sustain family planning services in remote Madagascar_,0
,OFDA response to the global food crisis_,0
,HIV prevention across the youth spectrum_,0
,"USAID/OTI Lebanon annual summary report, October 2007-September 2008_",0
,'Big-hearted and hard-headed' : transforming development in the U.S. national security agenda_,0
,Sustaining momentum against malaria : saving lives in Africa : the President's malaria initiative fourth annual report : executive summary_,0
,USAID announces USAID FORWARD reform agenda_,0
"M. Kreiner, A. Zaffaroni, R. Alvarez and G. Clark","Validation of a simplified sham acupuncture technique for its use in clinical research: a randomised, single blind, crossover study",0
D. Cowan,Methodological issues in evaluating auricular acupuncture therapy for problems arising from the use of drugs and alcohol,0
"P. Tousek, R. Rokyta, J. Tesarova, R. Pudil, J. Belohlavek, J. Stasek, F. Rohac and P. Widimsky",Routine upfront abciximab versus standard periprocedural therapy in patients undergoing primary percutaneous coronary intervention for cardiogenic shock: The PRAGUE-7 Study. An open randomized multicentre study,0
"M. FINANCE, U. APPL-MACRO, R.-M. CHOICE and C. VALIDATION-METHODOLOGY","HOFFMAN KC, JORGENSON DW",0
B. Rocha,At Different Speeds: Policy Complementarities and the Recovery from the Asian Crisis,0
"A. S. M. Abdullah, Y. W. Mak, A. Y. Loke and L. Tai-Hing",Smoking cessation intervention in parents of young children: a randomised controlled trial,0
"G. Andreuccetti, H. B. de Carvalho, C. J. Cherpitel and V. Leyton",The call for evidence-based drink and driving policies in Brazil,0
Ë. Bakke and D. Endal,Vested Interests in Addiction Research and Policy Alcohol policies out of context: drinks industry supplanting government role in alcohol policies in sub-Saharan Africa,0
"R. E. Booth, W. E. Lehman, S. Dvoryak, J. T. Brewster and L. Sinitsyna",Interventions with injection drug users in Ukraine,0
H. Brendryen and P. Kraft,Happy ending: a randomized controlled trial of a digital multi-media smoking cessation intervention,0
"D. A. Bright, M. M. Norberg, R. McKetin and R. Sutherland",A systematic review of methamphetamine precursor regulations,0
"J. Bryant, B. Bonevski, C. Paul, P. McElduff and J. Attia",A systematic review and meta-analysis of the effectiveness of behavioural smoking cessation interventions in selected disadvantaged groups,0
"W. K. Bryant, S. Galea, M. Tracy, T. M. Piper, K. J. Tardiff and D. Vlahov","Overdose deaths attributed to methadone and heroin in New York City, 1990_1998",0
"S. S. C. Chan, D. Y. P. Leung, D. C. N. Wong, C. P. Lau, V. T. Wong and T. H. Lam",A randomized controlled trial of stage-matched intervention for smoking cessation in cardiac out-patients,0
"J. M. Chatkin, C. M. de Abreu, F. M. Haggstr_m, M. B. Wagner and C. C. Fritscher",Abstinence rates and predictors of outcome for smoking cessation: do Brazilian smokers need special strategies?,0
"J. D. Clapp, M. Johnson, R. B. Voas, J. E. Lange, A. Shillington and C. Russell",Reducing DUI among US college students: results of an environmental prevention trial,0
"_orapçio, gcaron, A. lu and K. €gel",RESEARCH REPORT Factors associated with Ecstasy use in Turkish students,0
"J. K. Cunningham, I. Bojorquez, O. Campollo, L.-M. Liu and J. C. Maxwell",Mexico's methamphetamine precursor chemical interventions: impacts on drug treatment admissions,0
A. de Bruijn,No reason for optimism: the expected impact of commitments in the European Commission's Alcohol and Health Forum,0
"T. Durkee, M. Kaess, V. Carli, P. Parzer, C. Wasserman, B. Floderus, A. Apter, J. Balazs, S. Barzilay, J. Bobes, R. Brunner, P. Corcoran, D. Cosman, P. Cotter, R. Despalins, N. Graber, F. Guillemin, C. Haring, J. P. Kahn, L. Mandelli, D. Marusic, G. Meszaros, G. J. Musa, V. Postuvan, F. Resch, P. A. Saiz, M. Sisask, A. Varnik, M. Sarchiapone, C. W. Hoven and D. Wasserman",Prevalence of pathological internet use among adolescents in Europe: demographic and social factors,0
"N. T. Fear, A. Iversen, H. Meltzer, L. Workman, L. Hull, N. Greenberg, C. Barker, T. Browne, M. Earnshaw, O. Horn, M. Jones, D. Murphy, R. J. Rona, M. Hotopf and S. Wessely",Patterns of drinking in the UK Armed Forces,0
"A. M. Foss, C. H. Watts, P. Vickerman, T. Azim, L. Guinness, M. Ahmed, A. Rodericks and S. Jana","Could the CARE-SHAKTI intervention for injecting drug users be maintaining the low HIV prevalence in Dhaka, Bangladesh?",0
"A. M. Foss, C. H. Watts, P. Vickerman, T. Azim, L. Guinness, M. Ahmed, A. Rodericks and S. Jana","Could the CARE_SHAKTI intervention for injecting drug users be maintaining the low HIV prevalence in Dhaka, Bangladesh?",0
"D. German, S. G. Sherman, B. Sirirojn, N. Thomson, A. Aramrattana and D. D. Celentano",Motivations for methamphetamine cessation among young people in northern Thailand,0
R. Gordon and P. Anderson,Science and alcohol policy: A case study of the EU strategy on alcohol,0
"T. C. Green, R. Heimer and L. E. Grau",Distinguishing signs of opioid overdose and indication for naloxone: an evaluation of six overdose training and naloxone distribution programs in the United States,0
"L. Guinness, P. Vickerman, Z. Quayyum, A. Foss, C. Watts, A. Rodericks, T. Azim, S. Jana and L. Kumaranayake",The cost-effectiveness of consistent and early intervention of harm reduction for injecting drug users in Bangladesh,0
"T. M. Hammett, Z. Wu, T. T. Duc, D. Stephens, S. Sullivan, W. Liu, Y. Chen, D. Ngu and D. C. D. Jarlais",'Social evils' and harm reduction: the evolving policy environment for human immunodeficiency virus prevention among injection drug users in China and Vietnam,0
H. Higashi and J. J. Barendregt,Cost-effectiveness of tobacco control policies in Vietnam: the case of personal smoking cessation support,0
D. H. Jernigan,The global alcohol industry: an overview,0
"Z. Jiafang, W. Jiachun, L. Yunxia, Q. Xiaoxia and F. Ya",Alcohol abuse in a metropolitan city in China: a study of the prevalence and risk factors,0
"A. Kastelic, G. Dubajic and E. Strbad",Slow-release oral morphine for maintenance treatment of opioid addicts intolerant to methadone or with inadequate withdrawal suppression,0
"G. R. Kheirabadi, M. Ranjkesh, M. R. Maracy and M. Salehi",Effect of add-on gabapentin on opioid withdrawal symptoms in opium-dependent patients.[Erratum appears in Addiction. 2009 Oct;104(10):1776],0
"G. R. Kheirabadi, M. Ranjkesh, M. R. Maracy and M. Salehi",Effect of add-on gabapentin on opioid withdrawal symptoms in opium-dependent patients,0
"L. Kumaranayake, P. Vickerman, D. Walker, S. Samoshkin and V. Romantzov","The cost-effectiveness of HIV preventive measures among injecting drug users in Svetlogorsk, Belarus",0
"D. W. Lachenmeier, F. Kanteres and J. Rehm",Carcinogenicity of acetaldehyde in alcoholic beverages: risk assessment outside ethanol metabolism,0
"J. E. Lange, R. B. Voas and M. B. Johnson",South of the border: a haven for underage drinking,0
"L. Li, Z. Wu, L.-J. Liang, C. Lin, L. Zhang, S. Guo, K. Rou and J. Li",An intervention targeting service providers and clients for methadone maintenance treatment in China: a cluster-randomized trial,0
"R. Luk, R. Ferrence and G. Gmel","The economic impact of a smoke-free bylaw on restaurant and bar sales in Ottawa, Canada",0
"S. MacLean, J. Cameron, A. Harney and N. K. Lee",Psychosocial therapeutic interventions for volatile substance use: a systematic review,0
"T. A. Nguyen, L. T. Hoang, V. Q. Pham and R. Detels","Risk factors for HIV-1 seropositivity in drug users under 30 years old in Haiphong, Vietnam",0
F. Pechansky and A. Chandran,Why don't northern American solutions to drinking and driving work in southern America?,0
"J. Pomerleau, A. Gilmore, M. McKee, R. Rose and C. W. Haerpfer","Determinants of smoking in eight countries of the former Soviet Union: results from the Living Conditions, Lifestyles and Health Study",0
W. A. Pridemore and M. B. Chamlin,"A time-series analysis of the impact of heavy drinking on homicide and suicide mortality in Russia, 1956_2002*",0
W. A. Pridemore and M. B. Chamlin,"A time-series analysis of the impact of heavy drinking on homicide and suicide mortality in Russia, 1956_2002",0
"N. A. Rigotti, A. Bitton, A. E. Richards, M. Reyen, K. Wassum and M. Raw",An international survey of training programs for treating tobacco dependence,0
R. Room,Building a pan-European alcohol policy research competence,0
"J. H. Samet, E. M. Krupitsky, D. M. Cheng, A. Raj, V. Y. Egorova, S. Levenson, S. Meli, C. Bridden, E. V. Verbitskaya, M. L. Kamb and E. E. Zvartau",Mitigating risky sexual behaviors among Russian narcology hospital patients: the PREVENT (Partnership to Reduce the Epidemic Via Engagement in Narcology Treatment) randomized controlled trial,0
"M. M. Schuurmans, A. H. Diacon, X. v. Biljon and C. T. Bolliger",Effect of pre-treatment with nicotine patch on withdrawal symptoms and abstinence rates in smokers subsequently quitting with the nicotine patch: a randomized controlled trial,0
"T. Sitharthan, D. J. Kavanagh and G. Sayer",Moderating drinking by correspondence: an evaluation of a new method of intervention,0
"R. B. Voas, A. S. Tippetts, M. B. Johnson, J. E. Lange and J. Baker",Operation safe crossing: using science within a community intervention,0
"L. von Diemen, D. G. Bassani, S. C. Fuchs, C. M. Szobot and F. Pechansky","Impulsivity, age of first alcohol use and substance use disorders among male adolescents: A population based case-control study",0
"L. von Diemen, D. G. Bassani, S. C. Fuchs, C. M. Szobot and F. Pechansky","Impulsivity, age of first alcohol use and substance use disorders among male adolescents: a population based case_control study",0
"G. Kelemen, M. B. Erdos and J. Madacsy",Voices of sobriety: Exploring the process of recovery through patient testimonials,0
"E. L. Barrett, K. L. Mills and M. Teesson",Hurt people who hurt people: Violence amongst individuals with comorbid substance use disorder and post traumatic stress disorder,0
"F. C. Breslin, S. L. Sobell, L. C. Sobell and M. B. Sobell",Alcohol treatment outcome methodology: State of the art 1989_1993,0
"H. K. Clark, C. L. Ringwalt and S. R. Shamblen",Predicting adolescent substance use: The effects of depressed mood and positive expectancies,0
"C. M. Doran, L. Valenti, M. Robinson, H. Britt and R. P. Mattick",Smoking status of Australian general practice patients and their attempts to quit,0
"D. S. Ekman, A. Andersson, P. Nilsen, H. StÔhlbrandt, A. L. Johansson and P. Bendtsen",Electronic screening and brief intervention for risky drinking in Swedish university students Ü A randomized controlled trial,0
"R. Gabrhelik, A. Duncan, M. H. Lee, L. Stastna, C. Furr-Holden and M. Miovsky",Sex specific trajectories in cigarette smoking behaviors among students participating in the Unplugged school-based randomized control trial for substance use prevention,0
"R. A. Korcha, C. J. Cherpitel, J. Moskalewicz, G. Swiatkiewicz, J. Bond and Y. Ye","Readiness to change, drinking, and negative consequences among Polish SBIRT patients",0
"A. D. Loro Jr, J. C. Levenkron and E. B. Fisher Jr",Critical clinical issues in the behavioral treatment of obesity,0
R. L. Richmond,Retracing the steps of Marco Polo: From clinical trials to diffusion of interventions for smokers,0
"S. Sussman, J. Miyano, L. A. Rohrbach, C. W. Dent and P. Sun",Six-month and one-year effects of Project EX-4: A classroom-based smoking prevention and cessation intervention program,0
"H. Zheng, S. Sussman, X. Chen, Y. Wang, J. Xia, J. Gong, C. Liu, J. Shan, J. Unger and C. Johnson","Project EX--A teen smoking cessation initial study in Wuhan, China",0
"M. Yesuf, A. Mekonnen, M. Kassie and J. Pender",Cost of land degradation in Ethiopia: A critical review of past studies,0
"J. M. Rho, B. Zupec-Kania and S. A. Masino",Ketogenic Diet and Epilepsy: The Role of Adenosine,0
"M. Miovsky, P. Novak, L. Stastna, R. Gabrhelik, L. Jurystova and J. Vopravil",The effect of the school-based unplugged preventive intervention on tobacco use in the Czech Republic,0
B. Rabie,An exploration of South Africaês framework for public sector monitoring and evaluation,0
D. J. Sullivan,Bureaucratic Politics in Development Assistance: The Failure of American Aid in Egypt,0
W. Stelk and E. Slaton,The Role of Infrastructure in the Transformation of Child-Adolescent Mental Health Systems,0
"K. Chulhee, K. Miok and L. Jongeun","The Effects of a Month-Long Sabbatical Program on Helping Professionals of Nonprofit Human Service Organizations in South Korea: Burnout, General Health, Organizational Commitment, and the Sense of Well-being",0
A. Makaros,Collaboration Between Business and Social Work: Findings from an Israeli Study,0
"R. M. Aguilera-Guzm_n, V. N. Salgado de Snyder, M. Romero and M. E. Medina-Mora",PATERNAL ABSENCE AND INTERNATIONAL MIGRATION: STRESSORS AND COMPENSATORS ASSOCIATED WITH THE MENTAL HEALTH OF MEXICAN TEENAGERS OF RURAL ORIGIN,0
"H. L. Copp, P. S. Bordnick, A. C. Traylor and B. A. Thyer",Evaluating wraparound services for seriously emotionally disturbed youth: pilot study outcomes in Georgia,0
"L. H. McArthur, D. Holbert and M. Pe_a",AN EXPLORATION OF THE ATTITUDINAL AND PERCEPTUAL DIMENSIONS OF BODY IMAGE AMONG MALE AND FEMALE ADOLESCENTS FROM SIX LATIN AMERICAN CITIES,0
N. MJ and N. CE,Negotiation Training and Interpersonal Development: An Exploratory Study of Early Adolescents in Argentina,0
"M. Thananart, C. D. Tori and T. Emavardhana",A LONGITUDINAL STUDY OF PSYCHOSOCIAL CHANGES AMONG THAI ADOLESCENTS PARTICIPATING IN A BUDDHIST ORDINATION PROGRAM FOR NOVICES,0
"W. R. McFarlane, B. Cornblatt and C. S. Carter","Early intervention in psychosis: Rationale, results and implications for treatment of adolescents at risk",0
"K. Purvis, D. R. Cross, R. Federici, D. Johnson and L. B. McKenzie",The Hope Connection,0
P. Hurly,Re-examining national radio and mass media campaigns,0
J. Oxenham,Signals from Uganda: what an evaluation suggests for adult educators,0
D. Hopkins,China's Successful Adult Literacy Campaign,0
"L. C. du Toit, V. Pillay and Y. E. Choonara","Nano-microbicides: Challenges in drug delivery, patient ethics and intellectual property in the war against HIV/AIDS",0
V. K. Chong and I. Syarifuddin,The effect of obedience pressure and authoritarianism on managers' project evaluation decisions,0
D. Simpson and S. Sells,Effectiveness of treatment for drug abuse: An overview of the DARP research program,0
"K. Simon, A. Gladysz, K. Rotter, W. Rymer, P. Smolinski, M. Inglot and M. Wladysiuk-Blicharz",Cost effectiveness of replacing recombinated interferon alpha-2b with its pegylated form in combination with ribavirin for the therapy of chronic HCV infection in Poland,0
"B. Affandi, M. Arevalo, B. N. Barwin, R. Batani, I. Bat_r, D. Wildemeersch, W. Delbarge, M. Vrijens, P. Bhiwandi and N. Williamson","X International Congress of The Society for the Advancement of Contraception Manila, Philippines, 5_9 November 1998 Abstracts (in alphabetical order of author)",0
A. Bigrigg,Outcomes in action: How relevant to clinical practice are health outcome measures such as the rate of unintended pregnancies in young teenagers?,0
"J. Y. Bian, B. X. Zhang and W. S. Rong","Evaluating the social impact and effectiveness of four-year ""Love Teeth Day"" campaign in China",0
"O. Bardan, S. A. Kandeel, M. H. Lakany, M. T. Omran, A. B. E. Sayed and M. L. E. Osta",Possibilities of land reclamation in desert areas: review of present and future status,0
"I. U. Iruka, M. F. Mount-Cors, S. L. Odom, S. Naoom and M. Van Dyke",Development and Sustainability of High-Quality Early Childhood Education Programs in Zambia,0
M. A. Dadashe and M. A. Sharife,Socio-economic evaluation of completed Projects of Agriculture and Natural Resources Research Center of Guilan,0
J. d. Graaff and J. W. Nibbering,Difficulties in monitoring and evaluating watershed development a case study from East Java,0
B. Ram and B. L. Dhyani,Economic evaluation of watershed management programmes in India,0
"T. Powell-Jackson, B. D. Neupane, S. Tiwari, K. Tumbahangphe, D. Manandhar and A. M. Costello",The impact of Nepal's national incentive programme to promote safe delivery in the district of Makwanpur,0
"V. C. Burch, C. N. T. Sikakana, N. Yeld, J. L. Seggie and H. G. Schmidt",Performance of academically at-risk medical students in a problem-based learning programme: a preliminary report,0
"M. Ohnishi, K. Nakamura and T. Takano",Training of healthcare personnel to improve performance of community-based antenatal care program,0
"M. Arkuszewski, M. Targosz-Gajniak, M. Swiat, M. Patalong-Ogiewa, M. Pieta and G. Opala",Intravenous thrombolysis in acute ischemic stroke after POLKARD: One center analysis of program impact on clinical practice,0
"S. Allam, M. El-Hamamsy and M. E. Sharkawy",The Effect of Coadminstration of Nicotinamide and Calcium-based Phosphate Binder on Hyperphophatemia in Patients Undergoing Hemodialysis,0
"M. M. Shattell, A. Quinlan-Colwell, J. Villalba, N. N. Ivers and M. Mails",A Cognitive-Behavioral Group Therapy Intervention With Depressed Spanish-Speaking Mexican Women Living in an Emerging Immigrant Community in the United States,0
A. M. Prentice and S. E. Cox,Iron and malaria interactions: research needs from basic science to global policy,0
"H. L. Gonzalez, A. P. Palencia, L. A. Umana, L. Galindo and L. A. Villafrade M",Mediated Learning Experience and Concept Maps: A Pedagogical Tool for Achieving Meaningful Learning in Medical Physiology Students,0
N. D. Sundberg and L. R. Gonzales,Cross-cultural and cross-ethnic assessment: Overview and issues,0
"U. Cavlak, U. B. Aslan, S. Gurso, N. Yagci and I. Yeldan",Attitudes of physiotherapists and physiotherapy students toward euthanasia: A comparative study,0
C. L. Pandey,The Impact of Climate Change on Agriculture and Adaptation in Nepal,0
"Z. Chowdhury, L. T. Le, A. Al Masud, K. C. Chang, M. Alauddin, M. Hossain, A. B. M. Zakaria and P. K. Hopke",Quantification of Indoor Air Pollution from Using Cookstoves and Estimation of Its Health Effects on Adult Women in Northwest Bangladesh,0
"J. Hellin, J. Ndjeunga and P. Chenevix Trench",Using qualitative market mapping to explore Aflatoxin contamination along the maize and groundnut value chains,0
"G. Mahuku, H. S. Nzioki, F. Waliyar, B. Diarra and O. Kodio",Aflatoxin prevalence data collection,0
"P. Masuoka, J. Chamberlin and M. Elias",Modeling the distribution and probability of aflatoxin occurrence using environmental data,0
"F. Wu, C. A. Narrod, M. Tiongco and Y. Liu",The health economics of Aflatoxin,0
D. A. Adewuyi,Comparison between school effectiveness characteristics and classroom instruction strategies in the United States and Nigeria,0
K. Luneta,Designing continuous professional development programmes for teachers: a literature review,0
R. Harding,Research on the impact of palliative care services offered in ART clinics,0
V. C. Mouli,"Bridges crossed yesterday, peaks to be conquered tomorrow. AIDS and the condom",0
D. Fair,Food aid for sub-Saharan Africa,0
I. V. Mashinini and G. d. T. d. Villiers,Community participation: facilitation or impairment of sustainable development?,0
P. Siyongwana and T. Mayekiso,"Local Community and Stakeholder Participation in Post-Apartheid Urban Renewal Development Projects in Port Elizabeth, South Africa",0
G. Hyden,Population research potentials in Africa,0
J. M. Ruijter,The mass media alone are not effective change agents,0
C. Population,Community based distribution project now operational in Mali,0
C. Population,Campaigns by religious leaders in rural Gambia influence villagers' knowledge and attitudes towards family planning,0
C. Population,Operations research capacity takes root in francophone African research center,0
M. Fleshman,Progress in Zimbabwe's HIV / AIDS battle,0
B. Dodson,Discrimination by Default? Gender Concerns in South African Migration Policy,0
B. Drah,"Orphans in Sub-Saharan Africa: The Crisis, the Interventions, and the Anthropologist",0
R. Hendrickson,Adjustment in the Role of the Overseas Private Investment Corporation (OPIC) in Sub-Saharan Africa,0
J. Atiku,Fertility reduction programmes should accompany land reforms,0
"D. Alemu, T. Degefe, S. Ferede, S. Nzietcheung and D. Roy",Overview and background paper on Ethiopia_s poultry sector,0
"K. G. Aning, P. K. Turkson and S. Asuming-Brempong",Pro-poor HPAI risk reduction strategies in Ghana,0
"W. de Glanville, S. Idris, S. Costard, F. Unger and D. Pfeiffer","A quantitative risk assessment for the onward transmission of highly pathogenic avian influenza H5N1 from an infected small-scale broiler farm in Bogor, West Java, Indonesia",0
"T. U. Obi, A. Olubukola and G. A. Maina",Pro-poor HPAI risk reduction strategies in Nigeria,0
J. M. Omiti and S. O. Okuthe,An overview of the poultry sector and status of Highly Pathogenic Avian Influenza (HPAI) in Kenya,0
"E. Schiffer, C. A. Narrod and K. von Grebmer",Surveillance and control of Highly Pathogenic Avian Influenza (HPAI) in Ethiopia,0
"E. Schiffer, C. A. Narrod and K. von Grebmer",Surveillance and control of Highly Pathogenic Avian Influenza (HPAI) in Ghana,0
B. Siraw and H. Chaka,Qualitative risk assessments for the risk of introduction of HPAI H5N1 virus into Ethiopia,0
B. Sumiarto and B. Arifin,Overview on poultry sector and HPAI situation for Indonesia with special emphasis on the island of Java,0
M. Tiongco,Pro-poor HPAI risk reduction strategies,0
P. K. Turkson,Qualitative release assessment of the risk of re-introduction of HPAI H5N1 virus from neighbouring countries into Ghana,0
"S. Idris, M. F. Palupi, E. Sudiana, F. Unger, S. Costard and D. Pfeiffer","Qualitative risk assessment of HPAI H5N1 transmission between small-scale commercial broiler chicken farms in Bogor, Indonesia",0
,Burkina Faso situation analysis,0
,A situation analysis study of the Nairobi City Commission family planning clinics. Selected findings,0
,Situation analysis study establishes baseline for future assessment of progress in Senegal,0
D. Gibson,"Spatial and temporal practices in interaction between doctors and nurses: a case study in a teaching hospital in Cape Town, South Africa",0
F. Tarawalie,"Blending new technology with local, indigenous cultures: a new approach to communication for rural development",0
"J. M. Erbaugh, J. M. Donnermeyer, P. Kibwika and S. Kyamanywa",AN ASSESSMENT OF THE INTEGRATED PEST MANAGEMENT COLLABORATIVE RESEARCH SUPPORT PROJECT'S [IPM CRSP] ACTIVITIES IN UGANDA: IMPACT ON FARMERS' AWARENESS AND KNOWLEDGE OF IPM SKILLS,0
J. M. Ngeve,"Agronomic performances, yield stability and field disease reaction of cassava genotypes in the sub-humid forest region of Cameroon",0
,A Note on the Contribution of the African Development Bank to Economic Knowledge and Policy in Africa,0
E. Asiedu and K. Gyimah-Brempong,The Effect of the Liberalization of Investment Policies on Employment and Investment of Multinational Corporations in Africa,0
"P. ConceiçÊo, S. Mukherjee and S. Nayyar",Impacts of the Economic Crisis on Human Development and the MDGs in Africa,0
"A. M. Karanja, A. Kuyvenhoven and H. A. J. Moll",Economic Reforms and Evolution of Producer Prices in Kenya: An ARCH-M Approach,0
"E. M. Koffi-Tessio, Y. H. Tossou and K. A. Homevor",Les Determinants de lê_tat de Sant_ au Togo,0
A. Shimeles,Welfare Analysis Using Data from the International Comparison Program for Africa,0
K. Simwaka and L. Mkandawire,The Efficacy of Official Intervention in the Foreign Exchange Market in Malawi,0
E. Wale and A. Yalew,Farmers' Variety Attribute Preferences: Implications for Breeding Priority Setting and Agricultural Extension Policy in Ethiopia*,0
W. Bekele,Analysis of Farmers' Preferences for Development Intervention Programs: A Case Study of Subsistence Farmers from East Ethiopian Highlands,0
A.-E. Gakusi,African Education Challenges and Policy Responses: Evaluation of the Effectiveness of the African Development Bank's Assistance,0
K. Getnet,Spatial Equilibrium of Wheat Markets in Ethiopia,0
R. Sawkut and S. Boopen,An Assessment of the Impact of a COMESA Customs Union,0
E. Wale and A. Yalew,Farmers' Variety Attribute Preferences: Implications for Breeding Priority Setting and Agricultural Extension Policy in Ethiopia,0
"A. Zezza, B. de la Brière and B. Davis",The impact of social cash transfers on household economic decision making and development in Eastern and Southern Africa,0
"F. Bajunirwe, I. Massaquoi, S. Asiimwe, M. R. Kamya, E. J. Arts and C. C. Whalen",Effectiveness of nevirapine and zidovudine in a pilot program for the prevention of mother-to-child transmission of HIV-1 in Uganda,0
